microSkillId,domain,description,yearMin,yearMax,defaultDifficultyBands,curriculumRef
SPELL-ORTH-COMMON-WORD-PATTERNS,SPELL,Spell words with common patterns,2,4,"[""CORE""]","[""AC9E2LY06""]"
SPELL-ORTH-DOUBLING-CONSONANTS,SPELL,Apply doubling consonant rules,3,6,"[""CORE""]","[""AC9E3LY03""]"
SPELL-ORTH-DROP-E-RULE,SPELL,Apply drop-e spelling rule,3,6,"[""CORE""]","[""AC9E3LY04""]"
SPELL-ORTH-CHANGE-Y-TO-I,SPELL,Apply change-y-to-i spelling rule,3,6,"[""CORE""]","[""AC9E3LY05""]"
SPELL-HFW-HIGH-FREQUENCY-WORDS,SPELL,Spell high-frequency words correctly,1,3,"[""FOUNDATION""]","[""AC9E1LY08""]"
SPELL-HFW-IRREGULAR-WORDS,SPELL,Spell irregular high-frequency words,2,5,"[""CORE""]","[""AC9E2LY07""]"
SPELL-HFW-AUTOMATICITY,SPELL,Spell common words automatically,2,6,"[""CORE""]","[""AC9E2LY08""]"
SPELL-MORPH-BASE-WORDS,SPELL,Identify and spell base words,2,4,"[""CORE""]","[""AC9E2LY09""]"
SPELL-MORPH-PREFIXES,SPELL,Spell words with common prefixes,3,7,"[""CORE""]","[""AC9E3LY06""]"
SPELL-MORPH-SUFFIXES,SPELL,Spell words with common suffixes,3,7,"[""CORE""]","[""AC9E3LY07""]"
SPELL-MORPH-INFLECTIONAL-ENDINGS,SPELL,Spell words with inflectional endings,2,5,"[""CORE""]","[""AC9E2LY10""]"
SPELL-MORPH-DERIVATIONAL-MORPHEMES,SPELL,Spell words with derivational morphemes,5,9,"[""CORE"",""STRETCH""]","[""AC9E5LY01""]"
SPELL-VOC-BASIC-TIER-1-WORDS,SPELL,Use and spell basic Tier 1 vocabulary,1,3,"[""FOUNDATION""]","[""AC9E1LY09""]"
SPELL-VOC-ACADEMIC-TIER-2-WORDS,SPELL,Use and spell Tier 2 academic vocabulary,3,9,"[""CORE""]","[""AC9E3LY08""]"
SPELL-VOC-DOMAIN-SPECIFIC-TIER-3,SPELL,Use and spell Tier 3 domain-specific vocabulary,5,9,"[""CORE""]","[""AC9E5LY02""]"
SPELL-VOC-MULTIPLE-MEANINGS,SPELL,Understand and use words with multiple meanings,3,7,"[""CORE""]","[""AC9E3LY09""]"
SPELL-VOC-SYNONYMS-ANTONYMS,SPELL,Use synonyms and antonyms,2,6,"[""CORE""]","[""AC9E2LY11""]"
SPELL-VOC-WORD-CONNOTATION,SPELL,Understand word connotation,4,9,"[""CORE""]","[""AC9E4LY01""]"
SPELL-VOC-COLLOCATION,SPELL,Use collocations appropriately,5,9,"[""CORE""]","[""AC9E5LY03""]"
SPELL-VOC-PRECISION-CHOICE,SPELL,Choose precise vocabulary,4,9,"[""CORE""]","[""AC9E4LY02""]"
SPELL-ETY-GREEK-LATIN-ROOTS,SPELL,Use Greek and Latin roots to spell and understand words,5,9,"[""CORE""]","[""AC9E5LY04""]"
SPELL-ETY-ORIGIN-OF-WORDS,SPELL,Understand word origins and etymology,6,9,"[""CORE""]","[""AC9E6LY01""]"
SPELL-ETY-AFFIX-MEANING-TRANSFER,SPELL,Transfer affix meanings to new words,6,9,"[""CORE"",""STRETCH""]","[""AC9E6LY02""]"
SPELL-STRAT-LOOK-SAY-COVER-WRITE-CHECK,SPELL,Use look-say-cover-write-check strategy,1,3,"[""FOUNDATION""]","[""AC9E1LY10""]"
SPELL-STRAT-MORPHOLOGICAL-ANALYSIS,SPELL,Use morphological analysis for spelling,3,9,"[""CORE""]","[""AC9E3LY10""]"
SPELL-STRAT-DICTIONARY-THESAURUS-USE,SPELL,Use dictionary and thesaurus effectively,4,9,"[""CORE""]","[""AC9E4LY03""]"
SPELL-STRAT-PROOFREAD-EDIT,SPELL,Proofread and edit for spelling errors,3,9,"[""CORE""]","[""AC9E3LY11""]"
SPELL-STRETCH-SEMANTIC-SHIFT,SPELL,Understand semantic shift in vocabulary,8,9,"[""STRETCH""]","[""AC9E8LY01""]"
SPELL-STRETCH-REGISTER-FORMALITY,SPELL,Adjust vocabulary for register and formality,8,9,"[""STRETCH""]","[""AC9E8LY02""]"
SPELL-STRETCH-DISCIPLINE-SPECIFIC-LANGUAGE,SPELL,Use discipline-specific academic language,9,9,"[""STRETCH""]","[""AC9E9LY01""]"
